"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 19:15:30 GMT 2023","Sat Apr 01 19:15:41 GMT 2023","11410","","cases.TestUnit","","cases.TestUnit","testUIXYZ1","Проверка регистрации нового пользователя",""
"passed","Sat Apr 01 19:15:30 GMT 2023","Sat Apr 01 19:15:40 GMT 2023","10735","","cases.TestUnit","","cases.TestUnit","testUIXYZ3","Проверка поиска клиента по FirstName",""
"passed","Sat Apr 01 19:15:30 GMT 2023","Sat Apr 01 19:15:41 GMT 2023","11112","","cases.TestUnit","","cases.TestUnit","testUIXYZ2","Проверка сортировки списка клиентов по FirstName",""
