"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 19:25:43 GMT 2023","Sat Apr 01 19:25:49 GMT 2023","5801","","cases.TestUnit","","cases.TestUnit","testUIXYZ2","Проверка сортировки списка клиентов по FirstName",""
"passed","Sat Apr 01 19:25:43 GMT 2023","Sat Apr 01 19:25:48 GMT 2023","5363","","cases.TestUnit","","cases.TestUnit","testUIXYZ3","Проверка поиска клиента по FirstName",""
"passed","Sat Apr 01 19:25:43 GMT 2023","Sat Apr 01 19:25:49 GMT 2023","5979","","cases.TestUnit","","cases.TestUnit","testUIXYZ1","Проверка регистрации нового пользователя",""
